,0
0,Alabama
1,Arizona
2,Connecticut
3,Delaware
4,Georgia
5,Hawaii
6,Idaho
7,Illinois
8,Indiana
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,New Mexico
24,North Carolina
25,North Dakota
26,Oregon
27,Pennsylvania
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
